airline_name,departure_time,arrival_time,departure_terminal,arrival_terminal,Way_Of_Travel,Time in Hours,number_days_added,Trip_Type,free_checked_baggage,limited_tickets_remaining?,Price,number_of_airlines
"American Airlines ,American Airlines      Transfer in Dallas 5h 9m",2025-09-13 10:55:00,2025-09-13 20:16:00,AMS,SAN T2,5h 9m in Dallas,18h 21m,,Return,,,$997,Multiple Airlines
"American Airlines ,American Airlines      Transfer in Philadelphia 6h 47m",2025-09-13 10:00:00,2025-09-13 21:43:00,AMS,SAN T2,6h 47m in Philadelphia,20h 43m,,Return,,,$997,Multiple Airlines
"American Airlines ,American Airlines      Transfer in Dallas 7h 25m",2025-09-13 10:55:00,2025-09-13 22:38:00,AMS,SAN T2,7h 25m in Dallas,20h 43m,,Return,,,$997,Multiple Airlines
"American Airlines ,American Airlines      Transfer in Dallas 8h 30m",2025-09-13 10:55:00,2025-09-13 23:32:00,AMS,SAN T2,8h 30m in Dallas,21h 37m,,Return,,,$997,Multiple Airlines
"American Airlines ,American Airlines      Transfer in Dallas 17h 12m",2025-09-13 10:55:00,2025-09-14 08:20:00,AMS,SAN T2,17h 12m in Dallas,30h 25m,+1,Return,,,$997,Multiple Airlines
"American Airlines ,American Airlines      Transfer in Dallas 18h 53m",2025-09-13 10:55:00,2025-09-14 09:59:00,AMS,SAN T2,18h 53m in Dallas,32h 4m,+1,Return,,,$997,Multiple Airlines
"American Airlines ,American Airlines      Transfer in Dallas 21h 2m",2025-09-13 10:55:00,2025-09-14 12:04:00,AMS,SAN T2,21h 2m in Dallas,34h 9m,+1,Return,,,$997,Multiple Airlines
"British Airways ,British Airways      Transfer in London 15h 50m",2025-09-13 19:25:00,2025-09-14 14:50:00,AMS,SAN T2,15h 50m in London,28h 25m,+1,Return,,,$1107,Multiple Airlines
KLM Royal Dutch Airlines,2025-09-13 20:50:00,2025-09-14 15:30:00,AMS,SIN T1,Direct,12h 40m,+1,Return,,,$1374,Singular Airline
Singapore Airlines,2025-09-13 11:00:00,2025-09-14 05:45:00,AMS,SIN,Direct,12h 45m,+1,Return,,,$2168,Singular Airline
"Air India ,Air India      Transfer in New Delhi 2h 40m",2025-09-13 20:35:00,2025-09-14 19:30:00,AMS,SIN T2,2h 40m in New Delhi,16h 55m,+1,Return,,,$875,Multiple Airlines
"Air India ,Air India      Transfer in New Delhi 4h 40m",2025-09-13 20:35:00,2025-09-14 21:45:00,AMS,SIN T2,4h 40m in New Delhi,19h 10m,+1,Return,,,$875,Multiple Airlines
"Air India ,Air India      Transfer in New Delhi 15h",2025-09-13 20:35:00,2025-09-15 07:30:00,AMS,SIN T2,15h in New Delhi,28h 55m,+2,Return,,,$875,Multiple Airlines
"Etihad Airways ,Etihad Airways      Transfer in Abu Dhabi 15h 25m",2025-09-13 22:00:00,2025-09-15 09:40:00,AMS,SIN T2,15h 25m in Abu Dhabi,29h 40m,+2,Return,,,$969,Multiple Airlines
"Lufthansa ,Lufthansa      Transfer in Frankfurt 1h 20m",2025-09-13 19:25:00,2025-09-14 16:25:00,AMS,SIN T2,1h 20m in Frankfurt,15h,+1,Return,,<5 left,$1139,Multiple Airlines
"Lufthansa ,Lufthansa      Transfer in Frankfurt 2h 15m",2025-09-13 18:30:00,2025-09-14 16:25:00,AMS,SIN T2,2h 15m in Frankfurt,15h 55m,+1,Return,,<5 left,$1139,Multiple Airlines
"Xiamen Airlines ,Xiamen Airlines      Transfer in Xiamen 3h 40m",2025-09-13 21:30:00,2025-09-14 22:15:00,AMS,SIN T1,3h 40m in Xiamen,18h 45m,+1,Return,,<5 left,$1403,Multiple Airlines
"China Eastern Airlines ,China Eastern Airlines      Transfer in Shanghai 20h 55m",2025-09-13 20:15:00,2025-09-15 15:35:00,AMS,SIN T3,20h 55m in Shanghai,37h 20m,+2,Return,,,$1458,Multiple Airlines
"Emirates ,Emirates      Transfer in Dubai 1h",2025-09-13 11:25:00,2025-09-14 08:35:00,AMS,SIN T1,1h in Dubai,15h 10m,+1,Return,,,$1521,Multiple Airlines
"Emirates ,Emirates      Transfer in Dubai 3h 35m",2025-09-13 21:50:00,2025-09-14 21:45:00,AMS,SIN T1,3h 35m in Dubai,17h 55m,+1,Return,,,$1521,Multiple Airlines
"Garuda Indonesia ,Garuda Indonesia      Transfer in Jakarta 1h",2025-09-13 12:05:00,2025-09-14 11:40:00,AMS,SIN T3,1h in Jakarta,17h 35m,+1,Return,,<5 left,$1536,Multiple Airlines
"Garuda Indonesia ,Garuda Indonesia      Transfer in Jakarta 3h 55m",2025-09-13 12:05:00,2025-09-14 14:35:00,AMS,SIN T3,3h 55m in Jakarta,20h 30m,+1,Return,,<5 left,$1536,Multiple Airlines
"Cathay Pacific ,Cathay Pacific      Transfer in Hong Kong 1h 50m",2025-09-13 12:15:00,2025-09-14 11:45:00,AMS,SIN T4,1h 50m in Hong Kong,17h 30m,+1,Return,,,$1573,Multiple Airlines
"EVA Air ,EVA Air     Stop in Bangkok 1h 20m Transfer in Taipei 11h 35m",2025-09-13 21:40:00,2025-09-15 12:00:00,AMS,SIN T3,"2 stops in Bangkok, Taipei",32h 20m,+2,Return,,,$1820,Multiple Airlines
